Generation,Gen Best Score,All Time Max,Max Fitness,Avg Fitness,Lifespan (Seconds),Lifespan (Minutes),DOB,UTC-TimeStamp
1,3,3,238,40.11,4.92,0.08,09/04/2026,2026-04-08T17:13:48Z
2,3,3,222,54.04,4.37,0.07,09/04/2026,2026-04-08T17:13:53Z
3,4,4,273,81.49,5.39,0.09,09/04/2026,2026-04-08T17:13:58Z
4,1,4,124,66.53,2.51,0.04,09/04/2026,2026-04-08T17:14:01Z
5,3,4,222,99.87,4.42,0.07,09/04/2026,2026-04-08T17:14:05Z
6,5,5,324,89.21,6.46,0.11,09/04/2026,2026-04-08T17:14:12Z
7,4,5,274,116.73,5.56,0.09,09/04/2026,2026-04-08T17:14:17Z
8,2,5,171,109.36,3.45,0.06,09/04/2026,2026-04-08T17:14:21Z
9,5,5,325,151.2,6.52,0.11,09/04/2026,2026-04-08T17:14:27Z
10,4,5,277,168.3,5.56,0.09,09/04/2026,2026-04-08T17:14:33Z
11,5,5,328,169.11,6.6,0.11,09/04/2026,2026-04-08T17:14:39Z
12,2,5,183,107.43,3.67,0.06,09/04/2026,2026-04-08T17:14:43Z
13,1,5,122,102.5,2.48,0.04,09/04/2026,2026-04-08T17:14:46Z
14,4,5,281,134.35,5.62,0.09,09/04/2026,2026-04-08T17:14:51Z
15,1,5,120,77.67,2.41,0.04,09/04/2026,2026-04-08T17:14:54Z
16,4,5,273,123.88,5.46,0.09,09/04/2026,2026-04-08T17:14:59Z
17,3,5,229,142.13,4.64,0.08,09/04/2026,2026-04-08T17:15:04Z
18,3,5,222,97.59,4.44,0.07,09/04/2026,2026-04-08T17:15:08Z
19,2,5,171,106.55,3.38,0.06,09/04/2026,2026-04-08T17:15:11Z
20,7,7,426,185.75,8.5,0.14,09/04/2026,2026-04-08T17:15:20Z
21,4,7,273,135.0,5.46,0.09,09/04/2026,2026-04-08T17:15:25Z
22,2,7,171,102.71,3.42,0.06,09/04/2026,2026-04-08T17:15:29Z
23,1,7,120,100.92,2.47,0.04,09/04/2026,2026-04-08T17:15:31Z
24,5,7,324,155.37,6.5,0.11,09/04/2026,2026-04-08T17:15:38Z
25,2,7,171,113.2,3.46,0.06,09/04/2026,2026-04-08T17:15:41Z
26,2,7,178,126.1,3.63,0.06,09/04/2026,2026-04-08T17:15:45
27,4,7,273,165.65,5.52,0.09,09/04/2026,2026-04-08T17:15:50Z
28,8,8,477,140.9,9.44,0.16,09/04/2026,2026-04-08T17:16:00Z
29,8,8,483,188.57,9.61,0.16,09/04/2026,2026-04-08T17:16:10Z
30,1,8,124,90.69,2.52,0.04,09/04/2026,2026-04-08T17:16:12Z
31,5,8,335,121.4,6.69,0.11,09/04/2026,2026-04-08T17:16:19Z
32,16,16,885,142.94,17.41,0.29,09/04/2026,2026-04-08T17:16:36Z
33,8,16,477,189.2,9.55,0.16,09/04/2026,2026-04-08T17:16:46Z
34,5,16,324,165.85,6.5,0.11,09/04/2026,2026-04-08T17:16:52Z
35,10,16,579,181.32,11.44,0.19,09/04/2026,2026-04-08T17:17:04Z
36,10,16,579,236.68,11.49,0.19,09/04/2026,2026-04-08T17:17:15Z
37,3,16,222,152.21,4.56,0.08,09/04/2026,2026-04-08T17:17:20Z
38,12,16,681,169.39,13.67,0.23,09/04/2026,2026-04-08T17:17:33Z
39,3,16,222,143.72,4.48,0.07,09/04/2026,2026-04-08T17:17:38Z
40,7,16,426,235.41,8.55,0.14,09/04/2026,2026-04-08T17:17:46Z
41,16,16,893,359.95,17.82,0.3,09/04/2026,2026-04-08T17:18:04Z
42,27,27,1446,275.72,28.6,0.48,09/04/2026,2026-04-08T17:18:33Z
43,4,27,278,215.01,5.62,0.09,09/04/2026,2026-04-08T17:18:38Z
44,19,27,1043,514.9,20.81,0.35,09/04/2026,2026-04-08T17:18:59Z
45,13,27,732,322.92,16.77,0.28,09/04/2026,2026-04-08T17:19:16Z
46,33,33,1752,681.17,40.56,0.68,09/04/2026,2026-04-08T17:19:57Z
47,8,33,477,197.29,11.12,0.19,09/04/2026,2026-04-08T17:20:08Z
48,32,33,1701,415.36,39.11,0.65,09/04/2026,2026-04-08T17:20:47Z
49,41,41,2168,432.17,49.95,0.83,09/04/2026,2026-04-08T17:21:37Z
50,28,41,1497,522.34,34.34,0.57,09/04/2026,2026-04-08T17:22:11Z
51,16,41,885,156.84,20.4,0.34,09/04/2026,2026-04-08T17:22:32Z
52,33,41,1752,208.73,40.48,0.67,09/04/2026,2026-04-08T17:23:12Z
53,112,112,5781,553.66,133.02,2.22,09/04/2026,2026-04-08T17:25:25Z
54,30,112,1599,524.95,37.42,0.62,09/04/2026,2026-04-08T17:26:02Z
55,69,112,3588,370.83,82.47,1.37,09/04/2026,2026-04-08T17:27:25Z
56,68,112,3537,454.97,81.61,1.36,09/04/2026,2026-04-08T17:28:47Z
57,49,112,2568,590.57,59.43,0.99,09/04/2026,2026-04-08T17:29:46Z
58,26,112,1395,639.83,32.47,0.54,09/04/2026,2026-04-08T17:30:18Z
59,91,112,4710,806.84,106.69,1.78,09/04/2026,2026-04-08T17:32:05Z
60,51,112,2670,871.51,61.06,1.02,09/04/2026,2026-04-08T17:33:06Z
61,21,112,1140,183.86,25.96,0.43,09/04/2026,2026-04-08T17:33:32Z
62,23,112,1249,568.72,28.9,0.48,09/04/2026,2026-04-08T17:34:01Z
63,14,112,783,267.05,291.48,4.86,09/04/2026,2026-04-08T17:38:53Z
64,135,135,6954,691.49,1125.91,18.77,09/04/2026,2026-04-08T17:57:39Z
65,27,135,1446,569.25,33.09,0.55,09/04/2026,2026-04-08T17:58:12Z
66,119,135,6138,2068.28,142.63,2.38,09/04/2026,2026-04-08T18:00:34Z
